iteration,loss
1,0.0807088259222022
2,3.495476449172509
3,0.43322206421780046
4,0.36695889001622023
5,1.184861761585393
6,0.9172749373416073
7,0.38895518023094533
8,0.0729411173386107
9,0.005696344693821105
10,0.07617966740829106
11,0.17123981533213695
12,0.2242967228478471
13,0.21858128296116927
14,0.16982822272812279
15,0.10556875566510894
16,0.04929319555679431
17,0.014060251776095413
18,0.0023762910746245786
19,0.009434687307694086
20,0.026575075678867528
21,0.04445130863569732
22,0.05640146170628776
23,0.05913999952188385
24,0.05318354183377922
25,0.0414096155676113
26,0.027692129589446304
27,0.015237407486140522
28,0.006344101093008257
29,0.001706992131196721
30,0.0009917004334760512
31,0.0031439402106566263
32,0.006723581941362653
33,0.010363579961151387
34,0.013012762161245545
35,0.014063680323321164
36,0.013433136857470808
37,0.011454561616479403
38,0.0086641474514869
39,0.005711525250732243
40,0.0031393475467156344
41,0.0013187141856176744
42,0.0004032122707660959
43,0.00030776844705150436
44,0.0008234933623060798
45,0.0016759149763894213
46,0.0025175914446986533
47,0.0032309352342200577
48,0.003538432702917012
49,0.0034440125376956586
50,0.0030011182068183173
51,0.0023421980006378745
52,0.0016132464498985564
53,0.0009473229733795994
54,0.00045571417630846487
55,0.00018225540075393642
56,0.00013173168423309963
57,0.00024948584958753615
58,0.00046622216203577317
59,0.0006992824143044875
60,0.0008814923493348941
61,0.000973936874073173
62,0.0009480550284719056
63,0.0008308338486069641
64,0.0006525391661356354
65,0.0004549383425289359
66,0.00027706380082740073
67,0.00015298467125734644
68,9.005153563333183e-5
69,8.806132846368966e-5
70,0.00012867943906855054
71,0.00019222219565574484
72,0.0002613251306429661
73,0.0003035556036561137
74,0.0003164380455652504
75,0.00029766570912096184
76,0.00025469820317647535
77,0.00019724767354726132
78,0.00014225345538531117
79,9.852969011337978e-5
80,7.350405828476308e-5
81,6.560841359209674e-5
82,7.521389510748602e-5
83,9.221146557675704e-5
84,0.00011068545911268778
85,0.00012495823492292938
86,0.00012817198428259486
87,0.00012321558131035167
88,0.00011005832625818031
89,9.316518965674221e-5
90,7.611996014965554e-5
91,6.488549723582928e-5
92,5.661697770397233e-5
93,5.4566177096858526e-5
94,5.707609031063353e-5
95,6.239608361752534e-5
96,6.506180799243444e-5
97,6.87467929432214e-5
98,7.152326274982723e-5
99,6.800615720182727e-5
100,6.372659845522879e-5
101,5.903706267991497e-5
102,5.236110072866103e-5
103,4.808452564557334e-5
104,4.6674828402536564e-5
105,4.708577923974703e-5
106,4.85081966437938e-5
107,5.011766150100184e-5
108,5.0989002246918616e-5
109,5.286061822762846e-5
110,5.202967134268451e-5
111,4.944544665777788e-5
112,4.725768389385173e-5
113,4.53242313072176e-5
114,4.3713119319325016e-5
115,4.2722979299958104e-5
116,4.2186263728061625e-5
117,4.2062042781211636e-5
118,2.9401043270107216e-5
119,4.216072253390412e-5
120,4.192625557747236e-5
121,4.148441363031718e-5
122,4.0507581545062327e-5
123,4.0361039089174045e-5
124,3.9631887400545205e-5
125,3.799021913508552e-5
126,3.856708619686729e-5
127,3.823528075321426e-5
128,3.758491356987516e-5
129,3.734390119668539e-5
130,3.7046718606823255e-5
131,3.680943459535739e-5
132,3.650703048297892e-5
133,3.593733193682383e-5
134,3.5458685050932246e-5
135,3.500947211520361e-5
136,3.4538991644508384e-5
137,3.44051292198016e-5
138,3.398427478691097e-5
139,3.3540263453153865e-5
140,3.3610689044646114e-5
141,3.3834998278184565e-5
142,3.341925491466476e-5
143,3.246796366289446e-5
144,3.160967336029446e-5
145,3.202233178394479e-5
146,3.1576554635725074e-5
147,3.1342599649167654e-5
148,3.117690026586465e-5
149,3.098877816620723e-5
150,2.9768652705221272e-5
151,2.9385320676378088e-5
152,2.931041873710208e-5
153,2.8244366792722168e-5
154,2.8136911498342417e-5
155,2.812170440072755e-5
156,2.7943824711998603e-5
157,2.7692598840931235e-5
158,2.7282283280168502e-5
159,2.770787172281736e-5
160,2.7410707893247987e-5
161,2.6231429905569595e-5
162,2.587300390729999e-5
163,2.5684500161259936e-5
164,2.528432698137414e-5
165,2.4790391253134076e-5
166,2.5535427884102846e-5
167,2.5236619914977353e-5
168,2.529944547569982e-5
169,2.5101106795624467e-5
170,2.492442570737192e-5
171,2.4652347340973604e-5
172,2.4226477610135138e-5
173,2.3979271330151498e-5
174,2.3809396840606127e-5
175,2.3612144604705882e-5
176,2.363709183703115e-5
177,2.3149904736371014e-5
178,2.2877515200236153e-5
179,2.2684768940533634e-5
180,2.2490843640388275e-5
181,2.230893428857055e-5
182,2.2139929543110618e-5
183,2.2166173664655377e-5
184,2.20040299742287e-5
185,2.1736048656366235e-5
186,2.1542333815071866e-5
187,2.1550987187997006e-5
188,2.1563792717595925e-5
189,2.1279813968313914e-5
190,2.1095173945846402e-5
191,2.0919957977285105e-5
192,2.0782669416389578e-5
193,2.0350745721367594e-5
194,2.0052454255162037e-5
195,2.0166723312240323e-5
196,1.9980875392096856e-5
197,1.9836540294411314e-5
198,1.9714960141197804e-5
199,1.9302238435921505e-5
200,1.9136119511529217e-5
201,1.9136119511529217e-5
